Employee ID,EmployeeType,EmployeeType_Encoded,PayZone,PayZone_Encoded,DepartmentType,DepartmentType_Encoded,GenderCode,GenderCode_Encoded,RaceDesc,RaceDesc_Encoded,MaritalDesc,MaritalDesc_Encoded,Performance Score,Performance Score_Encoded,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score
1181,Full-Time,1,Zone C,2,Production       ,3,Male,1,Other,3,Married,1,Fully Meets,1,3,5,5,4
1182,Full-Time,1,Zone C,2,Production       ,3,Female,0,Black,1,Divorced,0,Fully Meets,1,3,2,4,5
1183,Part-Time,2,Zone A,0,Production       ,3,Female,0,Black,1,Married,1,Fully Meets,1,3,4,5,5
1184,Full-Time,1,Zone B,1,Production       ,3,Female,0,Hispanic,2,Divorced,0,Fully Meets,1,3,1,3,1
1185,Part-Time,2,Zone A,0,Production       ,3,Female,0,Other,3,Widowed,3,Fully Meets,1,3,1,2,4
1186,Full-Time,1,Zone A,0,Production       ,3,Female,0,Hispanic,2,Single,2,Fully Meets,1,3,3,3,5
1187,Part-Time,2,Zone A,0,Production       ,3,Female,0,Black,1,Single,2,Fully Meets,1,3,4,1,1
1188,Contract,0,Zone B,1,Production       ,3,Male,1,Black,1,Divorced,0,Fully Meets,1,3,4,1,1
1189,Contract,0,Zone C,2,Production       ,3,Female,0,Other,3,Married,1,Fully Meets,1,3,5,5,3
1190,Contract,0,Zone B,1,Production       ,3,Female,0,Hispanic,2,Married,1,Fully Meets,1,3,2,5,3
1191,Full-Time,1,Zone B,1,Production       ,3,Female,0,Black,1,Divorced,0,Fully Meets,1,3,4,4,4
1192,Full-Time,1,Zone C,2,Production       ,3,Female,0,White,4,Single,2,Fully Meets,1,3,3,1,1
1193,Full-Time,1,Zone B,1,Production       ,3,Female,0,Black,1,Married,1,Fully Meets,1,3,5,2,3
1194,Full-Time,1,Zone C,2,Production       ,3,Male,1,Asian,0,Widowed,3,Fully Meets,1,3,5,4,2
1195,Part-Time,2,Zone C,2,Production       ,3,Female,0,Hispanic,2,Widowed,3,Fully Meets,1,3,5,3,2
1196,Part-Time,2,Zone C,2,Production       ,3,Female,0,Other,3,Married,1,Fully Meets,1,3,4,5,4
1197,Full-Time,1,Zone B,1,Production       ,3,Female,0,Hispanic,2,Divorced,0,Fully Meets,1,3,3,5,4
1198,Contract,0,Zone B,1,Production       ,3,Female,0,Asian,0,Married,1,Fully Meets,1,3,3,2,2
1199,Full-Time,1,Zone B,1,Production       ,3,Female,0,White,4,Widowed,3,Fully Meets,1,3,3,3,3
1200,Part-Time,2,Zone A,0,Production       ,3,Female,0,Other,3,Married,1,Fully Meets,1,3,4,5,1
1201,Contract,0,Zone A,0,Production       ,3,Male,1,Other,3,Divorced,0,Fully Meets,1,3,2,4,4
1202,Contract,0,Zone B,1,Production       ,3,Male,1,White,4,Widowed,3,Fully Meets,1,3,1,3,2
1203,Contract,0,Zone A,0,Production       ,3,Male,1,White,4,Divorced,0,Fully Meets,1,3,3,5,3
1204,Full-Time,1,Zone B,1,Production       ,3,Male,1,White,4,Married,1,Fully Meets,1,3,1,4,3
1205,Full-Time,1,Zone C,2,Production       ,3,Female,0,Hispanic,2,Single,2,Fully Meets,1,3,2,1,2
1206,Part-Time,2,Zone C,2,Production       ,3,Female,0,White,4,Divorced,0,Fully Meets,1,3,3,4,2
1207,Contract,0,Zone B,1,Production       ,3,Female,0,White,4,Divorced,0,Fully Meets,1,3,2,1,2
1208,Contract,0,Zone A,0,Production       ,3,Female,0,Black,1,Single,2,Fully Meets,1,3,5,1,5
1209,Part-Time,2,Zone A,0,Production       ,3,Female,0,Other,3,Married,1,Fully Meets,1,3,1,3,1
1210,Full-Time,1,Zone B,1,Production       ,3,Female,0,Asian,0,Divorced,0,Fully Meets,1,3,4,5,1
1211,Part-Time,2,Zone B,1,Production       ,3,Male,1,Other,3,Widowed,3,Fully Meets,1,3,3,3,1
1212,Contract,0,Zone C,2,Production       ,3,Female,0,Hispanic,2,Single,2,Fully Meets,1,3,4,5,4
1213,Part-Time,2,Zone A,0,Production       ,3,Female,0,White,4,Married,1,Fully Meets,1,3,1,2,4
1214,Full-Time,1,Zone B,1,Production       ,3,Female,0,Asian,0,Divorced,0,Fully Meets,1,3,1,5,3
1215,Contract,0,Zone C,2,Production       ,3,Female,0,Asian,0,Widowed,3,Fully Meets,1,3,2,1,5
1216,Part-Time,2,Zone B,1,Production       ,3,Female,0,Black,1,Single,2,Fully Meets,1,3,4,1,1
1217,Full-Time,1,Zone B,1,Production       ,3,Male,1,Asian,0,Single,2,Fully Meets,1,3,5,5,1
1218,Full-Time,1,Zone B,1,Production       ,3,Female,0,Black,1,Married,1,Fully Meets,1,3,2,3,1
1219,Part-Time,2,Zone B,1,Production       ,3,Female,0,Hispanic,2,Married,1,Fully Meets,1,3,2,2,2
1220,Full-Time,1,Zone C,2,Production       ,3,Female,0,Asian,0,Single,2,Fully Meets,1,3,5,2,4
1221,Part-Time,2,Zone A,0,Production       ,3,Female,0,Asian,0,Single,2,Fully Meets,1,3,5,5,3
1222,Contract,0,Zone A,0,Production       ,3,Female,0,Asian,0,Widowed,3,Fully Meets,1,3,5,2,1
1223,Full-Time,1,Zone C,2,Production       ,3,Female,0,Asian,0,Widowed,3,Fully Meets,1,3,4,1,4
1224,Part-Time,2,Zone B,1,Production       ,3,Male,1,Hispanic,2,Married,1,Fully Meets,1,3,4,2,3
1225,Contract,0,Zone C,2,Production       ,3,Male,1,Asian,0,Married,1,Fully Meets,1,3,1,2,4
1226,Full-Time,1,Zone A,0,Production       ,3,Male,1,Other,3,Divorced,0,Fully Meets,1,3,4,5,4
1227,Part-Time,2,Zone C,2,Production       ,3,Female,0,Other,3,Divorced,0,Fully Meets,1,3,1,2,2
1228,Contract,0,Zone B,1,Production       ,3,Female,0,Other,3,Widowed,3,Fully Meets,1,3,2,5,3
1229,Part-Time,2,Zone B,1,Production       ,3,Female,0,Black,1,Single,2,Fully Meets,1,3,4,2,5
1230,Contract,0,Zone C,2,Production       ,3,Female,0,Hispanic,2,Widowed,3,Fully Meets,1,3,5,4,4
1231,Contract,0,Zone B,1,Production       ,3,Female,0,Black,1,Married,1,Fully Meets,1,3,2,2,1
1232,Full-Time,1,Zone B,1,Production       ,3,Female,0,Other,3,Single,2,Fully Meets,1,3,2,1,5
